Year,Region,Country,Christians,Muslims,Unaffiliated,Hindus,Buddhists,Folk Religions,Other Religions,Jews,All Religions
2020,Middle East-North Africa,Israel,180000,1730000,280000,10000,20000,20000,10000,6360000,8600000
2020,Europe,Italy,48720000,2960000,8100000,140000,150000,100000,60000,50000,60270000
2020,Latin America-Caribbean,Jamaica,2270000,10000,500000,10000,10000,140000,30000,10000,2930000
2020,Asia-Pacific,Japan,2190000,220000,74780000,40000,41380000,500000,5550000,10000,124660000
2020,Middle East-North Africa,Jordan,160000,7410000,10000,10000,30000,10000,10000,10000,7640000
2020,Asia-Pacific,Kazakhstan,4130000,12870000,720000,10000,60000,70000,20000,10000,17880000
2020,Sub-Saharan Africa,Kenya,44460000,5550000,1200000,70000,10000,780000,570000,10000,52630000
2020,Asia-Pacific,Kiribati,110000,10000,10000,10000,10000,10000,10000,10000,110000
2020,Europe,Kosovo,100000,1750000,10000,10000,10000,10000,10000,10000,1860000
2020,Middle East-North Africa,Kuwait,450000,2350000,10000,330000,180000,10000,10000,10000,3320000
2020,Asia-Pacific,Kyrgyzstan,620000,5540000,30000,10000,10000,10000,10000,10000,6190000
2020,Asia-Pacific,Laos,110000,10000,60000,10000,4630000,2370000,50000,10000,7240000
2020,Europe,Latvia,1160000,10000,960000,10000,10000,10000,10000,10000,2130000
2020,Middle East-North Africa,Lebanon,1740000,2780000,10000,10000,10000,10000,10000,10000,4550000
2020,Sub-Saharan Africa,Lesotho,2310000,10000,70000,10000,10000,10000,10000,10000,2380000
2020,Sub-Saharan Africa,Liberia,4480000,610000,70000,10000,10000,30000,10000,10000,5200000
2020,Middle East-North Africa,Libya,200000,7170000,10000,10000,20000,10000,10000,10000,7420000
2020,Europe,Liechtenstein,40000,10000,10000,10000,10000,10000,10000,10000,40000
2020,Europe,Lithuania,2820000,10000,310000,10000,10000,10000,10000,10000,3130000
2020,Europe,Luxembourg,370000,10000,140000,10000,10000,10000,10000,10000,520000
2020,Asia-Pacific,Macau,40000,10000,90000,10000,100000,340000,10000,10000,570000
2020,Europe,Republic of Macedonia,1100000,870000,30000,10000,10000,10000,10000,10000,2000000
2020,Sub-Saharan Africa,Madagascar,23200000,850000,2010000,20000,10000,1270000,30000,10000,27380000
2020,Sub-Saharan Africa,Malawi,17280000,2660000,410000,10000,10000,340000,10000,10000,20720000
2020,Asia-Pacific,Malaysia,3140000,22070000,200000,1940000,5220000,730000,50000,10000,33360000
2020,Asia-Pacific,Maldives,10000,350000,10000,10000,10000,10000,10000,10000,360000
2020,Sub-Saharan Africa,Mali,490000,19610000,110000,10000,10000,530000,10000,10000,20730000
2020,Europe,Malta,400000,10000,10000,10000,10000,10000,10000,10000,420000
2020,Asia-Pacific,Marshall Islands,50000,10000,10000,10000,10000,10000,10000,10000,50000
2020,Latin America-Caribbean,Martinique,400000,10000,10000,10000,10000,10000,10000,10000,420000
2020,Sub-Saharan Africa,Mauritania,10000,4310000,10000,10000,10000,20000,10000,10000,4350000
2020,Sub-Saharan Africa,Mauritius,440000,230000,10000,640000,10000,10000,10000,10000,1330000
2020,Sub-Saharan Africa,Mayotte,10000,270000,10000,10000,10000,10000,10000,10000,270000
2020,Latin America-Caribbean,Mexico,118570000,10000,7240000,10000,10000,70000,20000,80000,126010000
2020,Asia-Pacific,Federated States of Micronesia,130000,10000,10000,10000,10000,10000,10000,10000,130000
2020,Europe,Moldova,3260000,30000,40000,10000,10000,10000,10000,20000,3350000
2020,Europe,Monaco,30000,10000,10000,10000,10000,10000,10000,10000,40000
2020,Asia-Pacific,Mongolia,70000,110000,1160000,10000,1730000,110000,10000,10000,3190000
2020,Europe,Montenegro,490000,130000,20000,10000,10000,10000,10000,10000,640000
2020,Latin America-Caribbean,Montserrat,10000,10000,10000,10000,10000,10000,10000,10000,10000
2020,Middle East-North Africa,Morocco,20000,35510000,10000,10000,10000,10000,10000,10000,35530000
2020,Sub-Saharan Africa,Mozambique,16760000,5000000,5020000,10000,10000,2210000,10000,10000,29000000
2020,Asia-Pacific,Burma (Myanmar),4040000,2200000,260000,890000,41440000,2990000,90000,10000,51910000
2020,Sub-Saharan Africa,Namibia,2600000,10000,50000,10000,10000,10000,10000,10000,2670000
2020,Asia-Pacific,Nauru,10000,10000,10000,10000,10000,10000,10000,10000,10000
2020,Asia-Pacific,Nepal,170000,1790000,90000,28600000,3540000,1290000,30000,10000,35490000
